0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,MANUFACTURING_____________________________________________,,,,,,,,,,,,,,,,SIC  19
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,,,,,,July,August,,October,,,,,,,January,February,March,April,May,June,July,August,September,"Oc+,'ber",November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1974,43.1,42.5,42.4,42.6,42.3,42.6,43.4,43.8,44.2,44.2,43.6,42.9,43.1,,,1969,138.17,134.60,134.40,136.08,136.96,137.70,139.94,135.72,137.89,140.48,140.24,143.32,143.56
1975,,42.9,46.4,43.0,42.8,42.2,42.0,,,,,,,,,1970,146.21,144.38,144.08,145.25,146.06,146.11,146.11,143.28,145.52,145.64,147.53,151.07,154.13
,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,,,1971,158.50,156.83,154.91,156.38,156.11,156.91,159.68,158.62,159.33,160.93,160.16,159.68,165.42
,,,,,,,,9,,9,10,11,11,,,1972,171.36,162.68,167.14,166.74,169.28,169.29,170.95,170.14,173.84,174.30,174.72,175.14,179.35
1939,9,8,8,8,8,8,8,,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,,,22,23,25,,,1973,181.83,175.98,177.66,177.66,175.55,177.62,178.05,181.40,179.99,187.74,187.68,190.11,193.77
1940,17,11,12,13,14,14,16,,18,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1974,196.41,188.28,190.11,194.19,189.06,196.61,196.14,193.23,195.35,200.03,199.07,204.05,208.96
,,,,,,,47,52,56,63,76,87,109,,,1975,,207.17,208.66,211.24,210.12,211.15,215.59,,,,,,
1941,55,29,32,35,38,40,,,,,,,,,,,,,,,,,,,,,,,
1942,274,141,167,197,229,255,277,303,313,322,337,361,383,,,,,,,,,,,,,,,,
,412,408,410,421,425,417,417,415,412,413,415,410,376,,,,,,,PRODUCTION-WORKER  AVERAGE  HOURLY EARNINGS -   IN  DOLLARS,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,309,357,350,322,302,297,294,296,297,297,295,294,303,,,1947,1.306,1.263,1.266,1.270,1.271,1.300,1.303,1.316,1.305,1.337,1.336,1.340,1.357
1945,202,312,320,315,309,300,273,237,188,58,47,39,29,,,1948,1.387,1.333,1.336,1.356,1.367,1.372,1.386,1.401,1.395,1.416,1.420,1.432,1.428
1946,23,28,25,24,24,22,22,23,20,23,22,22,21,,,1949,1.481,1.432,1.446,1.474,1.487,1.484,1.491,1.492,1.484,1.495,1.500,1.500,1.507
,See footnotes at  end  of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,7,,,,,,,,,,,,,,
