0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,September,October,,
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1972,"13,957","13,395","13,489","13,606","13,679","13,790","14,084","13,714","14,159","14,323","14,372","14,436","14,436",,1974,176.40,168.78,169.62,170.85,166.57,174.90,177.76,177.20,178.45,182.96,183.26,182.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.93
1973,"14,760","14,287","14,422","14,516","14,570","14,640","14,934","14,641","14,920","15,038","15,065","15,088","14,994",,1975,,180.73,180.18,182.66,184.00,185.25,188.81,,,,,,
1974,"14,613","14,700","14,601","14,585","14,636","14,674","14,912","14,610","14,823","14,913","14,709","14,363","13,825",,,,,,,,,,,,,,,
1975,,"13,237","12,859","12,757","12,731","12,807","12,981",,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE  HOURLY EARNINGS  -   IN  DOLLARS,,,,,,,,,
,,,,,,,,,,,,,,,1909,.191,,,,,MONTHLY  DATA NOT AVAILABLE,,,,,,,
,,,,PRODUCTION-WORKER  AVERAGE WEEKLY  EARNINGS  -   IN  DOLLARS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1914,.22 1,,,,,,,,,,,,
1909,9.74,,,,,MONTHLY  DATA NOT AVAILABLE,,,,,,,,,1919,.472,,,,,,,,,,,,
1914,10.92,,,,,,11.08,10.94,10.93,1 0 .8 8,10.70,10.75,10.95,,1920,.549,,,,,,,,,,,,
1915,1 1 .2 2,10.85,10.82,11.03,10.94,11.11,11.17,11.04,11.24,1 1 .2 2,11.60,11.69,11.93,,,,,,,,,,,,,,,
1916,12.63,11.24,12.15,12.36,12.36,12.80,12.82,1 2 .0 1,12.49,12.74,13.10,13.64,13.92,,1921,.509,,,,,,,,,,,,
1917,14.97,13.46,13.54,14.15,13.62,14.86,14.96,14.44,15.02,15.16,16.38,17.06,16.91,,1922,.482,,,,,,,,,,,,
1918,19.12,15.55,15.70,17.08,17.43,18.71,18.77,19.20,20.75,21.07,22.33,20.71,2 2 .1 1,,1923,.516,,,,,,,,,,,,
1919,21.84,21.36,20.97,21.04,20.80,20.89,21.23,21.33,2 2 .1 2,22.69,2 2 .2 2,22.87,24.09,,1924,.541,,,,,,,,,,,,
1920,26.02,24.76,24.64,25.81,25.51,26.32,26.89,26.55,26.69,26.66,26.65,26.12,25.80,,1925,.541,,,,,,,,,,,,
,,,,,,,,,,,,,,,1926,.542,,,,,,,,,,,,
1921,21.94,24.12,23.30,23.24,22.78,22.44,22.14,21.38,21.59,20.99,20.45,20.16,2 0 .8 8,,1927,.544,,,,,,,,,,,,
1922,21.28,20.08,20.41,20.62,20.43,20.81,21.24,21.07,21.49,21.75,21.85,22.39,22.67,,1928,.556,,,,,,,,,,,,
1923,23.56,22.28,22.71,23.32,23.49,24.25,24.10,23.38,23.39,23.44,24.22,24.04,24.15,,1929,.560,,,,,,,,,,,,
1924,23.67,23.50,24.43,24.37,24.23,23.97,23.32,22.39,23.04,23.32,23.67,23.42,24.17,,1930,.546,,,,,,,,,,,,
1925,24.11,23.64,24.41,24.62,24.10,24.46,23.97,23.57,23.80,23.20,24.40,24.43,24.65,,,,,,,,,,,,,,,
1926,24.38,23.93,24.65,24.86,24.50,24.43,24.47,23.71,24.24,24.03,24.80,24.41,24.55,,1931,.509,,,,,,,,,,,,
1927,24.47,23.79,24.89,25.11,24.91,25.02,24.61,23.90,24.38,23.99,24.37,24.01,24.64,,1932,.441,.476,.469,.462,.459,.455,.446,.443,.430,.414,.411,.411,.411
1928,24.70,24.09,24.96,25.08,24.64,24.87,24.79,24.22,24.61,24.45,25.16,24.61,24.91,,1933,.437,.406,.404,.405,.401,.398,.394,.399,.459,.488,.493,.496,.503
1929,24.76,24.27,25.30,25.49,25.43,25.51,25.09,24.05,24.70,24.67,24.81,23.85,23.90,,1934,.526,.511,.510,.511,.521,.527,.529,.533,.531,.534,.531,.532,.538
1930,23.00,23.37,24.09,24.23,24.08,23.91,23.58,22.37,22.23,22.24,22.23,21.52,21.61,,1935,.544,.541,.543,.546,.547,.547,.549,.543,.543,.538,.540,.543,.547
See footnotes at  end  of tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3 9,,,,,,,,,,,,,,
