0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
SIC  19,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Y ear,,January,February,March,April,May,June,July,August,Septembei,October,November,,,,,January,Februaiy,,,,,July,August,September,October,November,
,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1975,,30.9,30.4,30.0,29.8,29.4,29.3,,,,,,,,1958,41.3,41.0,41.3,40.7,40.4,40.1,41.0,41.2,42.2,41.6,42.1,41.7,42.5
,,,,,,,,,,,,,,,1959,41.7,42.3,42.1,42.0,41.3,41.9,41.9,41.6,41.4,41.4,41.3,41.4,41.5
,,,,,PRODUCTION  WORKERS -   IN  THOUSANDS,,,,,,,,,,1960,41.1,40.9,41.4,41.2,40.8,41.1,39.9,40.8,41.1,41.4,41.4,41.5,41.8
1958,34.4,24.8,27.2,28.7,30.2,32.3,34.5,34.6,36.4,37.8,40.0,42.1,44.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,41.4,41.8,41.3,41.5,41.4,41.4,41.2,41.2,41.2,41.2,41.2,41.4,41.8
1959,49.2,45.9,46.7,48.0,48.),49.0,49.3,49.6,49.8,50.6,50.9,50.7,51.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1962,40.9,40.9,40.8,40.9,41.0,41.0,40.9,40.4,40.7,41.1,40.8,41.0,41.4
1960,54.2,51.5,52.4,52.3,52.2,52.3,51.5,52.6,54.0,55.6,57.3,59.0,60.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1963,41.0,40.9,41.0,40.6,40.6,40.9,41.5,40.8,41.5,41.3,41.1,40.6,41.6
,,,,,,,,,,,,,66.7,,1964,40.4,41.1,40.4,40.1,40.6,40.1,40.4,40.0,40.0,39.6,40.6,40.6,41.4
1961,62.7,60.0,60.8,61.5,62.0,61.4,61.2,61.1,62.3,63.3,65.6,66.5,,,,,,,,,,,,,,,,
,,,67.4,67.0,68.4,68.4,71.0,72.7,73.0,72.6,72.7,73.5,73.3,,1965,42.0,41.6,41.3,41.4,41.3,41.8,42.1,42.4,42.3,41.7,42.6,42.4,42.5
1962,70.6,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,72.1,71.5,70.1,70.5,71.0,71.3,71.7,72.8,73.1,72.9,73.5,,1966,41.4,42.6,41.8,41.2,41.3,41.5,41.0,41.2,41.1,41.2,41.0,41.5,41.2
1963,71.9,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73.6,71.1,71.6,70.6,70.3,68.7,67.1,65.7,66.2,64.7,64.6,63.5,,1967,41.4,41.4,41.1,41.2,40.6,41.5,40.5,41.2,41.4,42.0,41.6,42.0,42.0
1964,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,64.0,62.9,61.9,61.3,60.8,61.3,61.6,62.6,63.3,65.8,67.5,69.0,70.4,,1968,41.1,40.2,41.7,40.9,40.0,41.0,41.0,40.5,41.2,41.6,41.9,41.4,41.7
1966,84.2,72.4,74.6,76.1,77.5,79.1,80.7,82.2,85.8,90.5,93.2,97.3,100.6,,1969,39.8,39.6,40.6,39.9,39.8,39.8,40.0,38.9,39.5,39.9,39.5,40.1,40.4
1967,120.4,105.6,110.8,113.4,113.5,113.4,116.9,119.7,124.5,126.7,130.9,133.7,135.8,,1970,40.1,40.5,40.1,40.2,40.1,40.0,40.1,39.8,39.6,39.3,39.8,40.6,41.0
1968,136.6,137.0,136.4,136.0,136.4,135.3,137.0,136.9,137.9,138.9,126.8,140.4,140.1,,,,,,,,,,,,,,,
1969,127.4,141.6,139.3,138.3,134.5,132.7,129.9,127.6,124.5,120.2,117.2,113.0,110.4,,1971,41.3,41.6,41.0,41.6,41.0,41.3,41.7,41.3,41.3,41.0,41.0,41.2,41.7
1970,86.7,103.7,101.4,97.3,90.9,89.6,86.7,83.7,82.8,81.6,75.4,74.3,72.6,,1972,41.9,41.2,41.6,41.7,41.4,41.5,41.6,41.7,42.1,42.1,42.5,42.3,42.8
,,,,,,,,,,,,,,,1973,41.5,42.1,42.5,42.4,41.8,41.3,41.4,41.2,40.3,41.2,41.4,40.6,41.7
1971,60.9,71.1,69.1,66.3,63.0,62.3,59.0,57.5,57.8,57.7,57.0,55.6,54.2,,1974,41.1,40.4,40.8,42.0,40.8,41.6,41.7,40.3,40.8,40.9,40.8,41.5,41.9
1972,55.1,53.3,52.2,51.6,51.5,51.8,54.2,55.2,57.2,53.9,55.2,62.2,62.4,,1975,,41.0,40.7,40.2,40.0,40.1,41.0,,,,,,
See  footnotes  at  end  o f tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5 0,,,,,,,,,,,,,,
