0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,August,Septembei,October,,,,,Febmaiy,April,,May,June,July,,August,September,October,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WOMEN  - ACCESSIONS  PER  1 0 0   WOMEN,,,,,,,,
SIC  25 -,,FURNITURE AND  FIXTURES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2 5 4 .6,2 5 7 .7,,2 5 7 .5,2 6 5 .6,2 7 0 .9,2 7 4 .2,2 7 3 .22 7 3 .0
1 9 6 2,,1.6,,,,2 .3,,,2 .3,,,2 .2,,,1 9 6 2,2 7 5 .22 6 9 .0,2 7 0 .7,2 7 2 .4,2 7 3 .9,2 7 3 .5,2 7 3 .9,,2 7 1 .0,2 7 8 .0,2 8 0 .6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2 8 1 .4,2 7 7 .82 8 0 .2
1 9 6 3,,1.7,,,,2 .3,,,2 .2,,,2 .4,,,1 9 6 3,2 7 9 .42 7 4 .4,2 7 4 .8,2 7 5 .7,2 7 5 .8,2 7 4 .9,2 7 7 .1,,2 7 5 .3,2 8 2 .3,2 8 4 .6,2 8 6 .3,2 8 6 .2
,,,,,,,,,,,,,,,,,,,,,,,,,,,2 8 4 .9
1 9 6 4,,1.9,,,,2 .5,,,2 .8,,,2 .8,,,19 6 4,2 9 2 .62 8 1 .5,2 8 4 .2,2 8 6 .6,2 8 7 .4,2 8 6 .2,2 9 1 .6,,2 9 0 .8,2 9 6 .5,2 9 9 .5,3 0 1 .9,3 0 2 .23 0 2 .8
1 9 6 5,,2 .4,,,,3 .2,,,3 .1,,,3 .8,,,1 9 6 5,3 0 9 .23 0 0 .8,3 0 2 .4,3 0 5 .2,3 0 6 .1,3 0 4 .6,3 0 7 .2,,3 0 3 .8,3 1 0 .8,3 1 3 .4,3 1 6 .4,3 2 0 .73 1 9 .0
1 9 6 6,,3 .2,,,,4 .7,,,4 .4,,,4 .9,,,19 6 6,3 2 8 .13 1 9 .2,3 2 2 .1,3 2 3 .6,3 2 4 .5,3 2 4 .4,3 2 8 .9,,3 2 4 .7,3 3 3 .9,3 3 3 .8,3 3 4 .5,3 3 2 .53 3 5 .2
19 6 7,,3 .6,,,,3 .9,,,3 .5,,,3 .9,,,1 9 6 7,3 1 9 .03 2 4 .6,3 2 2 .8,3 1 9 .3,3 1 5 .9,3 1 2 .3,3 1 2 .7,,3 0 6 .4,3 1 7 .3,3 1 7 .3,3 2 2 .9,3 2 8 .83 2 7 .8
1 9 6 8,,3 .4,,,,4 .2,,,4 .1,,,5 .2,,,1 9 6 8,3 3 2 .33 2 6 .3,3 2 7 .3,3 2 8 .0,3 2 6 .8,3 2 6 .4,3 3 2 .7,,3 2 6 .9,3 3 5 .8,3 3 6 .6,3 3 8 .9,3 4 0 .53 4 1 .9
See footnotes  at  end  o f tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7 6,,,,,,,,,,,,,
