0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,November,,,,,,,,,,,,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC  372 -,,AIRCRAFT AND  PARTS  (Con.),,,,,,,,,,,,,,,,,,NEW  HIRES PER  100  EMPLOYEES,,,,,,,
1960,2.4,2.3,2.2,1.9,1.9,1.8,2.7,2.5,3.1,2.8,3.0,2.4,2.1,1964,.9,.9,.8,.9,.9,.9,.9,.9,1.1,1.3,.9,.7,.6
,,,,,,,,,,,,,,1965,1.1,.8,.8,.9,1.0,1.0,1.1,1.0,1.4,2.0,1.4,1.0,.8
1961,2.8,2.6,2.6,2.4,2.3,2.4,3.4,2.5,3.3,3.0,3.3,3.0,2.3,1966,1.6,1.4,1.3,1.4,1.6,1.6,1.7,1.7,2.2,2.8,1.9,1.2,.9
1962,2.9,3.2,2.7,2.9,2.8,2.7,3.6,3.3,3.1,3.2,3.2,2.3,2.0,1967,1.6,1.5,1.4,1.5,1.4,1.5,1.6,1.5,2.0,2.8,1.6,1.1,.9
1963,2.4,2.8,2.1,23,2.4,2.1,3.2,2.7,2.5,2.8,2.6,1.9,1.6,1968,1.5,1.3,1.2,1.3,1.4,1.5,1.4,1.5,1.9,2.5,1.6,1.1,7
1964,2.1,1.9,1.8,1.9,1.7,1.5,2.8,2.3,2.5,2.3,2.2,1.9,1.8,1969,1.3,1.2,1.1,1.2,1.3,1.3,1.4,1.4,1.8,1.9,1.2,.8,.6
1965,3.2,2.3,2.4,2.8,2.6,2.7,3.9,3.6,3.9,3.5,3.7,3.8,3.5,1970,.8,.9,.8,.8,.8,.8,.8,.9,.9,1.0,.7,.4,.4
1966,4.2,4.6,4.2,4.2,3.7,4.2,6.1,4.5,4.7,4.1,4.4,3.2,2.4,,,,,,,,,,,,,,
1967,3.1,2.8,3.1,3.0,2.9,3.0,4.6,3.6,3.5,3.4,3.3,2.5,1.9,1971,.6,.6,.5,.5,.6,.6,.7,.7,1.0,.8,.7,.5,.4
1968,2.3,2.6,2.4,2.1,2.3,2.1,3.4,2.6,2.5,2.6,2.3,1.7,1.5,1972,.7,.6,.6,.6,.7,.7,.8,.8,1.0,.9,.7,.5,.5
,,2.2,1.9,2.0,1.9,1.7,2.7,2.1,2.0,2.7,2.0,1.3,1.1,1973,.9,.7,.7,.9,•3,.9,1.0,.9,1.3,1.2,.9,.7,.4
1969,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4,1.1,1.3,1.7,1.7,1.4,1.3,1.5,1.1,.9,1974,.8,.7,.7,.8,8,.9,1.0,1.0,1.4,1.1,.8,.5,.3
1970,1.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1975,,6,.5,.5,.5,.5,.6,,,,,,
1971,1.7,1.1,1.1,1.3,1.5,2.0,2.3,2.2,2.1,1.8,1.8,1.8,1.3,,,,,,,,,,,,,,
,,1.9,1.8,1.8,1.7,1.9,2.4,2.2,2.3,2.4,2.4,1.9,1.3,,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,
1972,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,2.3,2.6,2.0,2.1,2.1,2.4,2.7,2.6,2.4,2.4,2.6,2.1,1.2,1958,1.6,2.7,2.0,1.9,1.9,1.7,1.5,1.2,1.1,1.4,1.4,1.0,1.7
1974,2.1,19,1.7,2.0,2.2,2.3,2.8,2.8,2.6,2.7,2.1,1.4,.9,1959,1.5,2.2,1.2,1.4,1.4,1.3,1.0,1.4,1.4,1.7,1.8,1.9,1.8
1975,,1.4,1.3,1.2,2.5,1.2,1.6,,,,,,,1960,1.7,2.1,1.7,2.1,2.2,1.7,1.6,1.6,1.5,1.6,1.8,1.3,1.6
,See footnotes at end of tables.,,,,,,,,,,,,3 1 5,,,,,,,,,,,,,,
