0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,SIC  3391,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,,January,February,March,April,May,June,July,August,September,October,November,December,,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE HOURLY  EARNINGS  -,,,,,,,,,
SIC 3391  -,,,IRCIN  ANID  STEEL  FORGINGS  (C 0 3,,,,,,,,,,,,,,,,,,,,,,IN  DOLLARS,,,,
,,,,,,,,,,,,,,,,1935,39.8,39.7,42.3,42.2,41.0,38.6,35.6,34.1,39.2,39.4,40.5i,41.6,43.3
1956,,104.83,107.43i,105.331,105.08,103.34,102.92,101.11,101.34,100.44,103.48,109.04,108.10,108.26,,1936,41.5,39.8,40.8,,41.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.0,,41.9,40.8,38.8,40.1,38.9,41.9',44.0,46.6
1957,,105.32,111.78i,108.99i,108.73,104.90,104.90,107.27,104.90,103.88,103.22,101.76,99.00,100.85,,1937,40.6,43.1,44.0,44.4,44.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42.8,41.9,38.4,39.8,39.6,39.5■,35.5,33.5
1958,,102.87,99.79l,98.32:,99.91,98.32,98.69,101.84,104.64,100.88,104.72,105.49,107.42,113.52,,1938,31.8,28.4,28.9,30.4,29.8,29.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28.6,29.2,32.8,34.2,36.0i,36.0,38.1
1959,,114.11,113.08!,113.48,114.17,115.14,117.38,116.28,115.95,113.43,112.22,110.50,108.59,116.98,,1939,37.9,36.0,36.9,37.0,36.5,36.5,36.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,35.9,38.0,38.2,40.1,41.6,41.9
1960,,115.74,122.66i,123.07,120.66,114.26,115.42,113.97,114.73,108.86,112.91,113.68,112.22,114.05,,1940,40.6,41.1,40.5,39.4,39.0,38.3,,39.3,40.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,38.8,,,40.6,42.5,42.2,44.5
1961,,119.10,116.33,114.46i,112.99,115.24,117.71,120.20,118.90,117.21,122.51,120.40,125.26,126.38,,1941,45.2,44.4,44.5,45.2,44.8,45.8,46.7,43.7,45.3,44.9,45.8,44.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4
1962,,126.48,124.24,126.07,128.03,126.69,125.15,126.38,124.84,126.07,126.79,125.64,128.11,130.51,,1942,47.1,47.1,47.3,47.4,47.6,47.8,47.4,46.1,46.5,44.7,47.3,47.0,48.5
1963,,131.93,131.75i,129.56i,128.21,126.72,129.74,132.89,132.75,128.88,134.64,134.23,134.55,137.01,,1943,46.9,48.1,48.0,48.1,48.1,47.6,47.1,44.7,46.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,47.9i,48.3,47.6
1964,,137.70,132.44,133.90l,135.62,137.61,137.61,136.54,134.48,137.37,140.11,141.46,139.86,146.45,,1944,47.0,47.7,48.1,47.8,46.7,46.6,46.8,45.5,46.1,46.7,47.5i,46.8,47.1
1965,,148.86,146.72,148.61,150.16,139.74,146.20,145.78,148.60,143.79,150.60,152.95,153.91,155.22,,1945,43.7,47.3,47.8,47.1,47.3,45.1,45.5,44.1,37.8,39.0,41.6i,40.5,41.4
1966,-,154.51,153.99i,157.08!,156.09,150.72,155.45,153.22,146.01,151.14,158.61,157.87,159.41,155.18,,1946,38.9,41.9,38.4,38.2,39.3,37.5,38.2,36.9,39.3,38.7,39.5i,39.2,39.9
1967,,150.06,154.761,151.01,149.45,144.36,147.02,146.29>,146.69,150.92,149.74,149.11,152.81,157.96,,1947,40.3,40.0,40.3,40.7,40.4,40.3,40.3,38.8,38.5,40.3,41.31,40.7,41.3
1968,,162.68,158.121,157.321,160.55,149.73,160.22,160.63,161.90,158.36,172.06,167.16,174.62,173.43,,1948,40.4,41.2,40.8,40.4,39.7,39.7,40.3,40.0,39.8,39.8,41.0i,40.8,41.0
1969,,175.55,176.75•,174.66i,177.59,175.97,174.71,175.55i,171.81,171.81,180.19,176.82,172.63,181.47,,1949,37.8,40.9,40.5,39.0,37.6,37.2,37.6,37.1,36.5,36.0,36.0i,35.7,38.0
1970,,172.80,"174.26,",172.18!,172.99,170.02,173.32,173.63,165.33,170.56,169.94,173.49,175.52,182.66,,1950,41.2,38.2,39.0,39.5,39.6,41.4,41.1,41.1,41.2,42.2,42.9',43.6,42.9
1971,,183.41,180.901,180.24,179.84,177.00i,183.66,188.20i,179.33,180.42,182.21,183.68,190.41,198.85,,1951,42.8,42.7,42.2,43.0,43.4,42.9,43.2,41.9,42.3,42.2,43.3!,42.4,44.2
1972,,209.66,194.401,200.08I,203.53,205.09',207.00,210.59i,190.21,204.00,217.33,219.91,224.46,233.38,,1952,41.8,44.3,43.5,42.5,41.4,41.8,41.6,38.2,38.7,40.3,41.81,42.1,43.7
1973,,236.75,232.32’,240.83!,241.02,240.35,240.20,230.05-,225.35,229.02,244.40,237.05,237.48,246.84,,1953,41.4,43.0,42.8,42.7,42.1,41.5,41.2,40.8,41.2,39.9,40.3,40.2,40.3
1974,,246.34,241.96i,240.931,241.82,224.00i,245.82,248.54,240.95,245.53,255.85,256.20,255.07,258.34,,1954,38.5,39.6,39.4,38.5,37.6,37.8,37.8,37.8,38.2,37.9,38.3,38.7,39.9
1975,,,247.99i,239.801,244.82,250.31,250.10,257.07,,,,,,,,1955,41.8,40.4,40.8,41.6,42.3,42.0,42.2,40.8,41.6,42.0,42.5i,42.3,42.4
,See  footnotes  at  end  of  tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,
